[2025-08-31 12:01:21.633] [info]  DiscordSplash.signalReady
[2025-08-31 12:01:21.710] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-31 12:01:21.712] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-31 12:01:21.725] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-31 12:01:21.727] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-31 12:01:21.730] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-31 12:01:21.758] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-31 12:01:21.759] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-31 12:01:21.763] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-31 12:01:21.765] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-31 12:01:21.770] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-31 12:01:21.771] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-31 12:01:21.773] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-31 12:01:21.778] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-31 12:01:21.780] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-31 12:01:22.224] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-31 12:01:22.224] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-31 12:01:22.629] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-31 12:01:22.633] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-31 12:01:22.633] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-31 12:01:22.645] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-31 12:01:22.648] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-31 12:01:22.658] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-08-31 12:01:22.659] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-08-31 12:01:22.668] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-08-31 12:01:22.670] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-08-31 12:01:22.686] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-08-31 12:01:22.687] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-08-31 12:01:22.699] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-08-31 12:01:22.701] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-08-31 12:01:22.716] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-08-31 12:01:22.718] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-08-31 12:01:22.728] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-08-31 12:01:22.728] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-08-31 12:01:22.736] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-08-31 12:01:22.737] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
